Image,THUMB_MCP_angle,INDEX_MCP_angle,MIDDLE_MCP_angle,RING_MCP_angle,PINKY_MCP_angle,INDEX_PIP_angle,MIDDLE_PIP_angle,RING_PIP_angle,PINKY_PIP_angle,INDEX_DIP_angle,MIDDLE_DIP_angle,RING_DIP_angle,PINKY_DIP_angle,THUMB_TMC_angle,THUMB_IP_angle,THUMB_INDEX_Abduction_angle
35.jpg,176.1843967,149.571893,118.1721334,118.5335861,141.6968348,165.3205421,59.80304074,51.55757904,35.99988204,172.881739,128.8275066,134.3674387,150.0778112,156.3701514,158.6219422,51.56847791
36.jpg,174.9426646,147.5776147,122.8818644,122.4209352,142.2414268,165.2415366,58.29924128,48.86417106,33.99042271,172.4667618,134.0298486,139.7488709,151.3734342,146.6516456,150.9354848,48.19210991
37.jpg,165.7776214,159.3880538,112.8287393,107.7427905,132.5987545,170.1558685,79.23527635,73.99199023,46.46162235,169.5291222,137.4728965,131.8920697,154.5402558,164.4952038,167.3083446,65.70695839
43.jpg,158.8434111,150.6551167,140.1073854,159.9955379,166.6891224,175.130085,51.94844769,13.31335925,7.488469889,177.5904908,150.8698262,147.0771433,155.2649382,161.0306391,167.5109139,49.02131529
79.jpg,158.9503577,171.9442921,141.4481815,144.2543946,166.9772541,177.5626773,54.13905847,38.50589374,14.93284655,171.1590068,163.1155786,150.9863108,162.6136516,163.9532658,161.1033482,51.37908691
b58.jpg,173.8744232,132.1138509,135.8825636,140.8664298,144.7309841,172.8496752,61.41346044,34.63639766,32.54206802,170.8699893,138.8968181,132.9139596,146.5269238,154.2773432,168.3881797,58.56065494
b59.jpg,167.2338303,137.3042538,135.0552447,137.6427329,158.272351,178.0432552,54.9679765,30.09123764,21.99737367,170.2051395,137.6121896,136.2875491,151.4053855,169.6485016,169.4596034,60.02457494
b60.jpg,166.0074403,143.0590581,152.1938071,154.1207154,151.2538828,175.3530574,42.44822917,24.92623162,29.51172572,171.9721857,145.2475529,148.3940554,161.3469654,164.8320482,170.4843761,62.9490087
b61.jpg,177.8973753,152.9961965,144.6019116,128.730539,139.4495468,176.2691712,31.37018099,31.04599963,31.78597305,172.7913837,149.3621748,130.2729916,142.3147749,164.5840262,157.0178501,70.68025318
b62.jpg,172.6503347,150.3350383,154.2478661,144.2156511,148.8338441,175.7440532,41.90038343,35.29173918,30.86107709,171.6282288,158.4286895,145.7516501,151.0136033,165.6238458,171.8848783,69.57060573
b63.jpg,170.7330543,153.4444451,138.7799475,120.1727972,134.9098662,167.3591556,52.11793067,54.00463454,38.43608185,169.9819161,119.6044516,112.585575,130.7646185,163.3670101,172.3367376,68.93932748
